iter	RMSE
0	13.50314905
1	13.16877814
2	12.8249258
3	12.50180125
4	12.19790953
5	11.89286807
6	11.59735451
7	11.32797798
8	11.04729035
9	10.78164758
10	10.52625295
11	10.27136825
12	10.02994362
13	9.790178544
14	9.564626683
15	9.335957714
16	9.115182055
17	8.897966164
18	8.694748048
19	8.496530481
20	8.295089748
21	8.113469518
22	7.934767644
23	7.752682315
24	7.578609634
25	7.414931457
26	7.26158471
27	7.114162831
28	6.976342763
29	6.829148105
30	6.681499774
31	6.547496208
32	6.437286301
33	6.315300875
34	6.186538853
35	6.068367863
36	5.953782221
37	5.842989726
38	5.73878429
39	5.631488492
40	5.534112846
41	5.433715587
42	5.344728709
43	5.254288875
44	5.165492708
45	5.079192484
46	4.999203424
47	4.919342995
48	4.844091901
49	4.768906645
50	4.695420975
51	4.628794714
52	4.56346963
53	4.50019593
54	4.438914631
55	4.383429496
56	4.329766998
57	4.275365267
58	4.228328759
59	4.180825497
60	4.136111395
61	4.090103795
62	4.043475996
63	4.003407622
64	3.966489477
65	3.928666634
66	3.891669044
67	3.854675679
68	3.819481785
69	3.786628221
70	3.756442541
71	3.722736614
72	3.691805948
73	3.661545035
74	3.63726962
75	3.613121037
76	3.589298361
77	3.564542199
78	3.543928578
79	3.52137695
80	3.501128527
81	3.481732851
82	3.46286653
83	3.444533515
84	3.428405817
85	3.412000738
86	3.395353852
87	3.37987308
88	3.36361952
89	3.35066736
90	3.336798134
91	3.326669855
92	3.313242765
93	3.301297203
94	3.289940349
95	3.279631671
96	3.270217943
97	3.260397865
98	3.249699773
99	3.240124504
100	3.231658194
101	3.222442179
102	3.214821363
103	3.206900763
104	3.198617406
105	3.192528226
106	3.184676982
107	3.177637507
108	3.172503753
109	3.166618642
110	3.161346059
111	3.155478124
112	3.15021281
113	3.144705847
114	3.139940452
115	3.135492521
116	3.131856788
117	3.127990777
118	3.123923049
119	3.120294026
120	3.116495884
121	3.112741357
122	3.11001485
123	3.106640437
124	3.103834505
125	3.100249755
126	3.097153018
127	3.094643965
128	3.091530622
129	3.08798828
130	3.084961402
131	3.082609665
132	3.079886361
133	3.077049807
134	3.073893184
135	3.072290354
136	3.069636544
137	3.0676664
138	3.065370266
139	3.064199545
140	3.06255591
141	3.060038978
142	3.05829813
143	3.056227156
144	3.054657347
145	3.052822433
146	3.050807643
147	3.049298671
148	3.048324089
149	3.046675606
150	3.045224449
151	3.043820012
152	3.04222048
153	3.040782164
154	3.040051491
155	3.038565351
156	3.038038873
157	3.036984529
158	3.035711988
159	3.035416301
160	3.034278641
161	3.033505163
162	3.031203102
163	3.030011691
164	3.028766775
165	3.027972976
166	3.02686953
167	3.025526511
168	3.024669895
169	3.024007618
170	3.022813693
171	3.021402816
172	3.021165301
173	3.020274647
174	3.019246338
175	3.018748686
176	3.017580935
177	3.016978595
178	3.01623059
179	3.015707583
180	3.014150862
181	3.013822901
182	3.012912581
183	3.012581415
184	3.011891021
185	3.011174193
186	3.010637332
187	3.009874042
188	3.009492236
189	3.007961532
190	3.006415843
191	3.005811758
192	3.004967557
193	3.004715048
194	3.004189639
195	3.003057303
196	3.002618363
197	3.002279799
198	3.001606648
199	3.000944009
200	3.000752798
201	3.000089341
202	3.00004934
203	2.999498099
204	2.998279165
205	2.997723262
206	2.997318358
207	2.996492203
208	2.996151159
209	2.995477345
210	2.994839586
211	2.994189057
212	2.993749862
213	2.993476809
214	2.992726526
215	2.992592018
216	2.992344948
217	2.991418477
218	2.991089324
219	2.990705141
220	2.989971537
221	2.989929983
222	2.989417109
223	2.989102338
224	2.988353561
225	2.988123462
226	2.987192592
227	2.986882637
228	2.986412249
229	2.986114094
230	2.98545852
231	2.985051875
232	2.984534834
233	2.983333261
234	2.98255529
235	2.982406957
236	2.981965967
237	2.981141675
238	2.980762293
239	2.980265435
240	2.979785764
241	2.979332185
242	2.979003437
243	2.97889911
244	2.978447433
245	2.977761635
246	2.977395823
247	2.976854839
248	2.976254087
249	2.976069811
250	2.975829149
251	2.975292367
252	2.974849445
253	2.974621302
254	2.97396469
255	2.973343984
256	2.972888596
257	2.972075
258	2.971676784
259	2.971367374
260	2.97005258
261	2.969687474
262	2.969327077
263	2.968987462
264	2.968653101
265	2.968044086
266	2.967406405
267	2.966461109
268	2.96621498
269	2.966084998
270	2.96516268
271	2.9645904
272	2.963861831
273	2.963766941
274	2.963134382
275	2.962384292
276	2.961650544
277	2.961029673
278	2.960951014
279	2.960214318
280	2.960003747
281	2.959894076
282	2.959620179
283	2.959072962
284	2.958258112
285	2.95813444
286	2.957896478
287	2.957499437
288	2.957064996
289	2.956583458
290	2.956141576
291	2.955819749
292	2.955152385
293	2.954624632
294	2.953998851
295	2.953559876
296	2.953136234
297	2.952634925
298	2.95248093
299	2.95215991
300	2.951807121
301	2.951357933
302	2.950898094
303	2.950651169
304	2.95059004
305	2.949718558
306	2.949398679
307	2.948607452
308	2.948045194
309	2.947612534
310	2.947177031
311	2.947054754
312	2.946755856
313	2.946559818
314	2.946480628
315	2.945212553
316	2.944689952
317	2.944393587
318	2.944135836
319	2.944026386
320	2.94382019
321	2.943459508
322	2.943369792
323	2.943273991
324	2.943180031
325	2.94266231
326	2.942588387
327	2.942211062
328	2.94214971
329	2.941996568
330	2.941834911
331	2.941789631
332	2.94170116
333	2.941352452
334	2.941279077
335	2.940934878
336	2.940433168
337	2.939990313
338	2.939446878
339	2.939194767
340	2.939044497
341	2.938892699
342	2.938666008
343	2.938489612
344	2.938398747
345	2.938081138
346	2.937352276
347	2.936968562
348	2.936915012
349	2.936848199
350	2.936790752
351	2.936293299
352	2.936010183
353	2.93594706
354	2.935523064
355	2.935457827
356	2.935396561
357	2.935336628
358	2.935270843
359	2.935222787
360	2.934343714
361	2.934136917
362	2.934079264
363	2.934031238
364	2.933976069
365	2.933512575
366	2.9330581
367	2.932761961
368	2.931745875
369	2.931687902
370	2.931278903
371	2.930796054
372	2.930538398
373	2.929845889
374	2.929800396
375	2.929754686
376	2.929701493
377	2.92846919
378	2.928162009
379	2.928114261
380	2.928062692
381	2.928010781
382	2.92794365
383	2.926993911
384	2.926332351
385	2.926292152
386	2.92611714
387	2.926079324
388	2.925963433
389	2.925352521
390	2.924961486
391	2.924619162
392	2.923801192
393	2.923428522
394	2.923389843
395	2.923092604
396	2.922754663
397	2.922545585
398	2.922509822
399	2.922052986
400	2.921425733
401	2.920826514
402	2.919724869
403	2.919681992
404	2.919135799
405	2.918082143
406	2.918039232
407	2.917483462
408	2.917411433
409	2.917368336
410	2.916738658
411	2.916669941
412	2.916086702
413	2.91605133
414	2.916019156
415	2.915323588
416	2.915301436
417	2.915071652
418	2.915040827
419	2.915001317
420	2.914737186
421	2.914087977
422	2.913857771
423	2.913454684
424	2.912967235
425	2.91294318
426	2.912598958
427	2.911754179
428	2.911718685
429	2.911509669
430	2.911117326
431	2.910600583
432	2.910574591
433	2.9105485
434	2.910476758
435	2.910438359
436	2.910408487
437	2.910380247
438	2.909407895
439	2.90903693
440	2.908968657
441	2.908940229
442	2.908580014
443	2.908107344
444	2.908080807
445	2.907674362
446	2.906715762
447	2.906218307
448	2.905317582
449	2.904591281
450	2.904219181
451	2.903720403
452	2.903439951
453	2.902577882
454	2.901717345
455	2.901656171
456	2.901234553
457	2.900648892
458	2.899755742
459	2.898924043
460	2.898902311
461	2.89887642
462	2.897985161
463	2.897654799
464	2.897266046
465	2.897085438
466	2.895971115
467	2.895942062
468	2.895359053
469	2.895335308
470	2.894733717
471	2.893938363
472	2.89358345
473	2.893400075
474	2.893375579
475	2.893137967
476	2.892679621
477	2.892474967
478	2.892420385
479	2.892375564
480	2.892355588
481	2.891925647
482	2.891282974
483	2.89048278
484	2.889685868
485	2.889664118
486	2.889223032
487	2.888909584
488	2.888740413
489	2.888721117
490	2.887745681
491	2.887267411
492	2.886505252
493	2.88579897
494	2.885256674
495	2.884951807
496	2.884695566
497	2.884286871
498	2.883475183
499	2.882825178
500	2.882804273
501	2.882781038
502	2.882406813
503	2.882389422
504	2.881769939
505	2.881631082
506	2.881272571
507	2.880681015
508	2.880658383
509	2.880641529
510	2.879615101
511	2.878997021
512	2.878530406
513	2.878256094
514	2.877432973
515	2.877417609
516	2.877360197
