iter	Passed	Remaining
0	131	131647
1	134	67174
2	135	45079
3	136	33942
4	137	27267
5	137	22804
6	138	19625
7	138	17231
8	139	15383
9	140	13904
10	141	12693
11	141	11677
12	142	10812
13	143	10077
14	143	9433
15	144	8871
16	144	8382
17	145	7945
18	146	7556
19	147	7203
20	147	6884
21	148	6598
22	149	6335
23	149	6092
24	150	5870
25	151	5665
26	151	5471
27	153	5316
28	153	5154
29	154	5001
30	155	4858
31	156	4722
32	156	4588
33	157	4467
34	157	4352
35	158	4245
36	159	4148
37	160	4051
38	160	3959
39	161	3870
40	161	3788
41	162	3709
42	163	3634
43	164	3564
44	164	3500
45	165	3434
46	166	3369
47	166	3309
48	167	3252
49	168	3196
50	168	3143
51	169	3092
52	170	3044
53	171	3001
54	172	2957
55	172	2913
56	173	2870
57	174	2832
58	175	2796
59	176	2758
60	176	2723
61	177	2687
62	178	2651
63	178	2616
64	179	2581
65	180	2547
66	180	2515
67	181	2484
68	181	2454
69	182	2424
70	183	2397
71	183	2370
72	184	2342
73	185	2315
74	185	2288
75	186	2265
76	186	2240
77	187	2216
78	188	2192
79	188	2169
80	189	2155
81	190	2133
82	191	2111
83	191	2090
84	192	2069
85	192	2049
86	193	2029
87	194	2010
88	194	1991
89	195	1973
90	195	1957
91	196	1938
92	197	1921
93	197	1904
94	198	1888
95	198	1872
96	199	1856
97	200	1841
98	200	1825
99	201	1810
100	201	1796
101	202	1783
102	203	1769
103	203	1755
104	204	1741
105	204	1728
106	205	1714
107	206	1701
108	206	1688
109	207	1676
110	207	1664
111	208	1653
112	209	1641
113	209	1629
114	210	1618
115	210	1606
116	211	1595
117	211	1584
118	212	1573
119	213	1564
120	213	1554
121	214	1545
122	215	1536
123	216	1526
124	216	1516
125	217	1507
126	217	1497
127	218	1488
128	219	1483
129	220	1476
130	221	1468
131	221	1459
132	222	1450
133	223	1441
134	223	1432
135	224	1423
136	224	1415
137	225	1407
138	225	1399
139	226	1391
140	227	1383
141	227	1375
142	228	1367
143	228	1360
144	229	1352
145	229	1345
146	230	1337
147	231	1330
148	231	1322
149	232	1315
150	232	1308
151	233	1301
152	233	1295
153	234	1288
154	235	1281
155	235	1276
156	236	1268
157	236	1261
158	237	1255
159	237	1247
160	238	1241
161	238	1235
162	239	1229
163	240	1223
164	240	1218
165	241	1212
166	241	1206
