iter	RMSE
0	13.35158862
1	12.89394048
2	12.49689642
3	12.07027439
4	11.65663371
5	11.26056482
6	10.87767471
7	10.49315086
8	10.12096019
9	9.790732557
10	9.484231905
11	9.17672716
12	8.878255594
13	8.589160783
14	8.320721861
15	8.078116608
16	7.824176111
17	7.575500382
18	7.34921137
19	7.121251578
20	6.914423443
21	6.705173015
22	6.50962455
23	6.356207571
24	6.171335326
25	6.002358617
26	5.841665686
27	5.697302711
28	5.544883659
29	5.409174244
30	5.287509708
31	5.168524123
32	5.041125897
33	4.918742015
34	4.825409325
35	4.717581259
36	4.612256844
37	4.526763192
38	4.439523645
39	4.346916152
40	4.259883763
41	4.179562703
42	4.110376986
43	4.04102063
44	3.980165338
45	3.921976817
46	3.862163878
47	3.810540545
48	3.755783607
49	3.706864628
50	3.660911362
51	3.62028478
52	3.584655452
53	3.549445503
54	3.518741523
55	3.488007959
56	3.452517172
57	3.42398491
58	3.392540795
59	3.370402346
60	3.345265322
61	3.322985707
62	3.297378403
63	3.273492596
64	3.253792577
65	3.231370741
66	3.214014863
67	3.197643457
68	3.183422935
69	3.169153301
70	3.153875686
71	3.139534383
72	3.126258909
73	3.114695052
74	3.105558166
75	3.096744575
76	3.086780909
77	3.07842178
78	3.070425584
79	3.061472469
80	3.055067833
81	3.048059542
82	3.041081186
83	3.033404352
84	3.027233799
85	3.021417713
86	3.015041669
87	3.008190015
88	3.003176269
89	2.998900337
90	2.994343389
91	2.989539235
92	2.985860822
93	2.98179026
94	2.977783506
95	2.972273609
96	2.967884113
97	2.963994879
98	2.960725621
99	2.956692407
100	2.953010992
101	2.948326431
102	2.944494344
103	2.940244884
104	2.938209462
105	2.935229598
106	2.931641176
107	2.927907235
108	2.924943776
109	2.921474831
110	2.918167511
111	2.916020892
112	2.913102788
113	2.910603965
114	2.907691289
115	2.905651264
116	2.901763515
117	2.898690185
118	2.895773965
119	2.893890837
120	2.892195649
121	2.889863852
122	2.887844312
123	2.885727709
124	2.884044673
125	2.881306001
126	2.879020219
127	2.87612089
128	2.874302887
129	2.871756437
130	2.869670203
131	2.865657221
132	2.864075203
133	2.86195069
134	2.85979841
135	2.858305444
136	2.856527791
137	2.856061596
138	2.854287288
139	2.851199531
140	2.848360583
141	2.845473546
142	2.84239246
143	2.841025695
144	2.838232422
145	2.835606933
146	2.834200612
147	2.832769422
148	2.830095445
149	2.828888582
150	2.826067665
151	2.82301015
152	2.818817919
153	2.816098237
154	2.814208707
155	2.812804519
156	2.810853585
157	2.808778921
158	2.806973264
159	2.805310862
160	2.80506904
161	2.803932521
162	2.800398442
163	2.797949459
164	2.796865901
165	2.79429647
166	2.792401314
167	2.79079769
168	2.788806701
169	2.788136786
170	2.787112594
171	2.785692074
172	2.784401016
173	2.781347431
174	2.779423132
175	2.777284993
176	2.775864233
177	2.772730951
178	2.771126929
179	2.768743167
180	2.767083709
181	2.76595058
182	2.764273233
183	2.762773402
184	2.760463793
185	2.758965558
186	2.757581874
187	2.754260932
188	2.753126905
189	2.751727845
190	2.749631376
191	2.747570507
192	2.746635915
193	2.744201413
194	2.742214105
195	2.739047942
196	2.737503717
197	2.735397893
198	2.733543271
199	2.732022335
200	2.731282023
201	2.728114965
202	2.726294959
203	2.724839684
204	2.723247658
205	2.721485873
206	2.717984605
207	2.715897357
208	2.713847891
209	2.712463011
210	2.710268824
211	2.707655725
212	2.706200069
213	2.704601291
214	2.702995162
215	2.701113603
216	2.699988199
217	2.698791262
218	2.69750107
219	2.696469488
220	2.695043775
221	2.693804527
222	2.691434273
223	2.690369555
224	2.689361121
225	2.687904279
226	2.686432624
227	2.685607746
228	2.68437196
229	2.682876766
230	2.681817769
231	2.679626013
232	2.678090004
233	2.675963265
234	2.674332874
235	2.673572812
236	2.672244289
237	2.670709047
238	2.669613297
239	2.667721532
240	2.666626115
241	2.665191396
242	2.662863248
243	2.660002878
244	2.656884839
245	2.655217998
246	2.654578478
247	2.651519499
248	2.649470663
249	2.64785411
250	2.645901474
251	2.6441145
252	2.642031709
253	2.640333888
254	2.639125557
255	2.638076617
256	2.636609226
257	2.636318923
258	2.633514682
259	2.632099746
260	2.630696537
261	2.628682835
262	2.627330332
263	2.626488641
264	2.624585987
265	2.621714678
266	2.618779285
267	2.616820704
268	2.61550408
269	2.61387438
270	2.611160659
271	2.609905135
272	2.608011007
273	2.606150777
274	2.603660602
275	2.602871549
276	2.599275448
277	2.598748737
278	2.597002755
279	2.595348394
280	2.594849225
281	2.592607871
282	2.590119326
283	2.58881869
284	2.587375032
285	2.584229546
286	2.582282738
287	2.581958751
288	2.579657039
289	2.576596187
290	2.57454308
291	2.572521505
292	2.571426957
293	2.569216603
294	2.566538572
295	2.566017768
296	2.56482421
297	2.564051211
298	2.562620945
299	2.56214459
300	2.560757406
301	2.559631755
302	2.55757444
303	2.55707017
304	2.556497606
305	2.55569417
306	2.554873873
307	2.554080643
308	2.553656371
309	2.552465946
310	2.551277599
311	2.54886452
312	2.548431777
313	2.545969781
314	2.544453082
315	2.543034778
316	2.5417547
317	2.540549011
318	2.538522573
319	2.537048039
320	2.534961711
321	2.532827611
322	2.532348388
323	2.529166602
324	2.527447707
325	2.525959787
326	2.524780983
327	2.523799598
328	2.522179082
329	2.521086389
330	2.518954168
331	2.517809268
332	2.514861282
333	2.5142767
334	2.511785745
335	2.510425907
336	2.508504457
337	2.507476279
338	2.505644349
339	2.503471451
340	2.501740936
341	2.500321637
342	2.497654119
343	2.495360114
344	2.493473989
345	2.493388121
346	2.49229583
347	2.491479624
348	2.48994823
349	2.48951928
350	2.487720108
351	2.486224921
352	2.483509332
353	2.481069796
354	2.479731182
355	2.477985786
356	2.476604744
357	2.475857429
358	2.475013505
359	2.473266114
360	2.471778396
361	2.470438441
362	2.469081671
363	2.467718119
364	2.466545301
365	2.465547814
366	2.464685348
367	2.463102207
368	2.46278871
369	2.462369848
370	2.461402478
371	2.459406543
372	2.457643699
373	2.455950014
374	2.454634516
375	2.45387941
376	2.4520702
377	2.450231645
378	2.447546731
379	2.447315693
380	2.445880135
381	2.444412576
382	2.442940968
383	2.44207849
384	2.441189028
385	2.439454055
386	2.438070346
387	2.437450229
388	2.435758674
389	2.434230937
390	2.433351138
391	2.431292514
392	2.429547329
393	2.428481229
394	2.427453846
395	2.425823251
396	2.42448621
397	2.424085237
398	2.422355529
399	2.421469356
400	2.421137926
401	2.41960343
402	2.418585968
403	2.417927705
404	2.416453613
405	2.415427383
406	2.414218354
407	2.412768893
408	2.411635106
409	2.410743844
410	2.409448394
411	2.408469294
412	2.407161459
413	2.405787015
414	2.404171284
415	2.402606285
416	2.4023316
417	2.400890227
418	2.400209533
419	2.399147913
420	2.397484002
421	2.397116894
422	2.395652902
423	2.394488146
424	2.392904762
425	2.391189608
426	2.39011588
427	2.388712663
428	2.38684428
429	2.385807247
430	2.38447694
431	2.383447241
432	2.382761448
433	2.382030071
434	2.381220611
435	2.379383759
436	2.378555182
437	2.377432564
438	2.376561607
439	2.375902528
440	2.37408032
441	2.373434723
442	2.37247672
443	2.370800337
444	2.369461139
445	2.367215409
446	2.364951041
447	2.364132213
448	2.363375811
449	2.361950083
450	2.360802817
451	2.359902857
452	2.358716172
453	2.357388358
454	2.356603062
455	2.355632458
456	2.353762384
457	2.352208662
458	2.351299663
459	2.349669796
460	2.34812551
461	2.346066013
462	2.34511194
463	2.34355851
464	2.341988424
465	2.341308567
466	2.340455089
467	2.340216207
468	2.339117528
469	2.33816035
470	2.337585978
471	2.337263858
472	2.336190283
473	2.335470306
474	2.33401202
475	2.332654754
476	2.330569812
477	2.328933702
478	2.328447484
479	2.326627256
480	2.325479547
481	2.32515567
482	2.324549931
483	2.323790163
484	2.322448447
485	2.320824502
486	2.320445303
487	2.319220373
488	2.3189942
489	2.318256627
490	2.31704425
491	2.316165631
492	2.314508177
493	2.313042465
494	2.312620786
495	2.311533248
496	2.310215158
497	2.308915513
498	2.307341241
499	2.305603075
500	2.303510416
501	2.301943648
502	2.300854709
503	2.299600248
504	2.297970712
505	2.296092663
506	2.294785208
507	2.294173405
508	2.293299993
509	2.291405431
510	2.290519207
511	2.289430695
512	2.287923686
513	2.28729517
514	2.285431683
515	2.284414174
516	2.283570248
517	2.281793084
518	2.280764303
519	2.279270768
520	2.277842591
521	2.277097074
522	2.276105687
523	2.274780012
524	2.273095927
525	2.271661206
526	2.270759756
527	2.269242078
528	2.268104236
529	2.266521923
530	2.265943116
531	2.264743775
532	2.262887225
533	2.261530911
534	2.26101608
535	2.25996468
536	2.25821292
537	2.257317993
538	2.256784305
539	2.255485408
540	2.254326072
541	2.253325809
542	2.252260334
543	2.250883634
544	2.249878026
545	2.248785998
546	2.24834275
547	2.247468844
548	2.246002279
549	2.245270511
550	2.244880011
551	2.243781876
552	2.242781757
553	2.241895619
554	2.241261365
555	2.240679149
556	2.239549312
557	2.238951125
558	2.237910579
559	2.236914734
560	2.236376107
561	2.235425921
562	2.234304628
563	2.233257513
564	2.232251256
565	2.230441054
566	2.229284782
567	2.22755038
568	2.226592065
569	2.225471726
570	2.2236943
571	2.223212209
572	2.222287443
573	2.220606453
574	2.219435296
575	2.218098664
576	2.21783882
577	2.216187625
578	2.21416542
579	2.21281874
580	2.212539566
581	2.211567536
582	2.210514077
583	2.209739129
584	2.209268543
585	2.208356218
586	2.2072067
587	2.206071804
588	2.205926917
589	2.204878195
590	2.204178815
591	2.203139802
592	2.20217723
593	2.200915662
594	2.199678003
595	2.198827249
596	2.197540134
597	2.195904737
598	2.194758808
599	2.193638179
600	2.192439239
601	2.191516349
602	2.191087432
603	2.19059349
604	2.189132675
605	2.188417135
606	2.187834451
607	2.187026677
608	2.185822024
609	2.184972183
610	2.183548578
611	2.182578576
612	2.181726818
613	2.180683994
614	2.179880757
615	2.178768337
616	2.177921415
617	2.176786897
618	2.175898188
619	2.174759486
620	2.173966854
621	2.173041489
622	2.172445157
623	2.171043214
624	2.170031267
625	2.169287042
626	2.16776863
627	2.166790842
628	2.165678723
629	2.164442921
630	2.163671383
631	2.162997535
632	2.161920925
633	2.16040739
634	2.159683921
635	2.15865344
636	2.15770405
637	2.156355831
638	2.155811013
639	2.15461523
640	2.153939601
641	2.152396193
642	2.151452345
643	2.150499982
644	2.149930338
645	2.148191229
646	2.147419249
647	2.14610946
648	2.145234086
649	2.14384721
650	2.143083228
651	2.142242495
652	2.141055319
653	2.139886517
654	2.13907845
655	2.13766602
656	2.137278552
657	2.13601147
658	2.1341959
659	2.133581699
660	2.132030573
661	2.131159331
662	2.129613805
663	2.128130634
664	2.126437101
665	2.126036866
666	2.125665285
667	2.124211281
668	2.123226824
669	2.122652701
670	2.121108325
671	2.120128525
672	2.119221013
673	2.118529065
674	2.118364701
675	2.117636866
676	2.116214269
677	2.115711754
678	2.115210791
679	2.114120941
680	2.113354996
681	2.112185726
682	2.111009769
683	2.110132334
684	2.10897331
685	2.107883324
686	2.107199691
687	2.106024684
688	2.104569452
689	2.102834416
690	2.100466031
691	2.099876068
692	2.098749866
693	2.098034295
694	2.097319394
695	2.096590453
696	2.095802737
697	2.094987986
698	2.093949021
699	2.091813241
700	2.090755123
701	2.089713757
702	2.089321039
703	2.088328017
704	2.087158022
705	2.086457908
706	2.085987332
707	2.084603851
708	2.083398495
709	2.082203494
710	2.080590784
711	2.079873515
712	2.078990358
713	2.077985173
714	2.077119923
715	2.075914182
716	2.075523758
717	2.074582033
718	2.073308816
719	2.072282137
720	2.071717279
721	2.071000731
722	2.069445367
723	2.069041987
724	2.068528919
725	2.06789949
726	2.067244397
727	2.066230478
728	2.065593122
729	2.065324039
730	2.06511747
731	2.064378566
732	2.063967551
733	2.063038146
734	2.062127292
735	2.061235935
736	2.060202373
737	2.059174679
738	2.058510836
739	2.057328734
740	2.056865262
741	2.055448944
742	2.054232473
743	2.053833722
744	2.053083547
745	2.052568091
746	2.051784031
747	2.051162691
748	2.050634678
749	2.049369295
750	2.047679875
751	2.046306336
752	2.045668982
753	2.044682097
754	2.044064758
755	2.043353181
756	2.04263935
757	2.041478323
758	2.040396285
759	2.039234559
760	2.038662743
761	2.037342618
762	2.035994407
763	2.03547552
764	2.034723099
765	2.033686788
766	2.032810906
767	2.031476422
768	2.030076394
769	2.028725253
770	2.028444541
771	2.027495902
772	2.026612913
773	2.024910009
774	2.024440137
775	2.0234651
776	2.022338272
777	2.02113288
778	2.020401584
779	2.019145796
780	2.018128165
781	2.017773556
782	2.016974291
783	2.016293455
784	2.015366696
785	2.013953029
786	2.013424583
787	2.012625322
788	2.012173653
789	2.011125805
790	2.010098051
791	2.009553421
792	2.008474305
793	2.007124624
794	2.006489438
795	2.005908083
796	2.005636825
797	2.004704075
798	2.003980264
799	2.00302678
800	2.002345285
801	2.001242896
802	2.000105975
803	1.999309237
804	1.998449451
805	1.997779784
806	1.997350628
807	1.996690464
808	1.995636988
809	1.994683779
810	1.993634395
811	1.993028348
812	1.991620653
813	1.990776703
814	1.989059593
815	1.988152625
816	1.987173193
817	1.986404412
818	1.985548816
819	1.985076699
820	1.984298071
821	1.983069714
822	1.982484357
823	1.981839193
824	1.980978858
825	1.980097661
826	1.979333962
827	1.977814036
828	1.976940805
829	1.976422853
830	1.976040257
831	1.974978612
832	1.974384585
833	1.973695204
834	1.973411492
835	1.972866116
836	1.972086376
837	1.971224806
838	1.97038621
839	1.969866237
840	1.968319809
841	1.967258931
842	1.966871525
843	1.966428937
844	1.965433388
845	1.965015985
846	1.963875141
847	1.963294716
848	1.962591628
849	1.96190696
850	1.961521612
851	1.960823985
852	1.960128122
853	1.959401307
854	1.958702622
855	1.95687638
856	1.95599869
857	1.95483256
858	1.953982033
859	1.953347235
860	1.952633753
861	1.952130132
862	1.951557524
863	1.951072487
864	1.950128772
865	1.949287706
866	1.948094262
867	1.94690209
868	1.945428463
869	1.94449621
870	1.943738428
871	1.943191974
872	1.942617612
873	1.941911314
874	1.941406646
875	1.940935704
876	1.940531554
877	1.939747631
878	1.938785005
879	1.937981362
880	1.93722679
881	1.936297232
882	1.935689297
883	1.934914898
884	1.934398557
885	1.933664579
886	1.932517838
887	1.931637372
888	1.931037278
889	1.929989534
890	1.929067618
891	1.928663899
892	1.927581157
893	1.926661901
894	1.926034056
895	1.925259321
896	1.924596883
897	1.923669024
898	1.922774913
899	1.921510011
900	1.920727328
901	1.919291131
902	1.91854163
903	1.918003559
904	1.917253604
905	1.916906388
906	1.915475709
907	1.914886953
908	1.913947578
909	1.91222195
910	1.911945673
